"","track_name","artist","year","track_uri","danceability","energy","loudness","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms"
"1","Theme from A Summer Place","Percy Faith","1960","2kKL5kk4On8YRSKWDgXWMX","0.466","0.389","-12.825","0.0253","0.631","0.843","0.295","0.745","92.631","144893"
"2","Tossin' and Turnin'","Bobby Lewis","1961","79s3pSe1u6ggQBEwVPm58Z","0.569","0.722","-8.914","0.0393","0.225","0","0.108","0.965","142.736","159640"
"3","Stranger on the Shore","Acker Bilk","1962","3I2j9uOUl4YkyoZgjSo9vF","0.247","0.0972","-17.207","0.0407","0.875","0.907","0.11","0.167","90.559","169120"
"4","Sugar Shack","The Fireballs","1963","2nAR2OjaGIXesjm7Kq7Kzu","0.856","0.755","-8.55","0.183","0.221","0.000279","0.104","0.805","132.382","121800"
"5","I Want to Hold Your Hand","The Beatles","1964","3JueJBdcGQaEAaWqPamsQt","0.492","0.722","-6.348","0.0395","0.581","4.47e-06","0.354","0.933","130.97","146533"
"6","Wooly Bully","Sam the Sham and the Pharaohs","1965","4QotqIo2GXPWGYpsTuQZHC","0.699","0.69","-9.573","0.0581","0.609","0.000142","0.237","0.915","140.953","138867"
"7","Ballad of the Green Berets","SSgt. Barry Sadler","1966","0yjNmllr3Ew6f97TqPuEqa","0.715","0.327","-11.814","0.033","0.782","0.000344","0.625","0.713","84.369","146400"
"8","To Sir With Love","Lulu","1967","0gBFr7N2D1GfhkXIIepIGG","0.546","0.399","-9.378","0.027","0.361","3.18e-06","0.0995","0.301","97.142","166693"
"9","Hey Jude","The Beatles","1968","0eY0YgyLAZ4gtM57wwYN7H","0.394","0.566","-9.435","0.0261","0.0304","3.64e-05","0.101","0.633","148.029","429933"
"10","Sugar, Sugar","The Archies","1969","3arHflcDF2qH8h8iSXNknY","0.547","0.899","-7.195","0.0518","0.516","0","0.932","0.791","123.496","187493"
"11","Bridge over Troubled Water","Simon & Garfunkel","1970","6l8EbYRtQMgKOyc1gcDHF9","0.149","0.206","-13.888","0.0323","0.822","0.000649","0.115","0.264","79.764","293120"
"12","Joy to the World","Three Dog Night","1971","1VZ04sZSpTet7wVMyZphA8","0.591","0.726","-13.545","0.0315","0.0384","2.49e-06","0.119","0.97","129.057","214960"
"13","The First Time Ever I Saw Your Face","Roberta Flack","1972","4qPznpVxgaunQB3gLtdiWr","0.311","0.0264","-21.644","0.037","0.731","0.00205","0.156","0.144","120.653","260666"
"14","Tie a Yellow Ribbon Round the Ole Oak Tree","Tony Orlando and Dawn","1973","2EnzSQ4CcxxpBrTGvS85Wz","0.574","0.763","-7.474","0.0522","0.245","0","0.0552","0.652","88.186","207360"
"15","The Way We Were","Barbra Streisand","1974","0Xz9ZgtAN5469a3bH4PpVh","0.265","0.338","-11.109","0.033","0.883","0.00365","0.16","0.156","138.372","210027"
"16","Love Will Keep Us Together","Captain & Tennille","1975","1f4iVGDitHYMVBaoc9GXO2","0.676","0.486","-13.656","0.0358","0.329","0","0.137","0.924","129.753","206800"
"17","Silly Love Songs","Wings","1976","2xAacCD0MW3UBFugKVHbJc","0.754","0.369","-15.767","0.0617","0.495","0.237","0.0908","0.65","88.062","310093"
"18","Tonight's the Night (Gonna Be Alright)","Rod Stewart","1977","52YNr0Hzvx9SbKjzbq49XL","0.555","0.521","-11.743","0.055","0.28","0.0296","0.321","0.68","136.394","237293"
"19","Shadow Dancing","Andy Gibb","1978","58sLR5pZS7VJJVG6nrpVeS","0.672","0.701","-5.73","0.0375","0.431","0","0.241","0.909","125.514","249680"
"20","My Sharona","The Knack","1979","1HOMkjp0nHMaTnfAkslCQj","0.586","0.7","-9.558","0.0363","0.0589","0.00125","0.0318","0.897","147.245","295400"
"21","Call Me","Blondie","1980","0vLwL4xuJ3s7SeaCdvMqkY","0.551","0.628","-13.799","0.036","0.0336","0.000194","0.151","0.768","142.167","212893"
"22","Bette Davis Eyes","Kim Carnes","1981","0kPeymTUiaidv48eRrMISu","0.659","0.541","-7.919","0.0272","0.0174","0","0.198","0.562","116.685","224693"
